# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	AB1	3089983	66060	1322	38937	28445	24409	36.3	692	0	0	152678
PSC	0	BRC20067	2986609	64861	981	37909	27933	23327	24.1	1006	0	0	258860
PSC	0	BRC20263	3009322	110426	2739	65112	48053	39347	32.1	693	0	0	172079
PSC	0	ECA243	3229386	42975	1118	24831	19262	17142	99.2	1017	0	0	44056
PSC	0	CB4852	3214776	47634	589	27575	20648	19140	27.5	546	0	0	52421
PSC	0	ECA246	3003125	78361	1455	45683	34133	28204	51.1	438	0	0	223260
PSC	0	CB4854	2944203	70833	1515	41554	30794	25291	55.3	2031	0	0	292725
PSC	0	ECA248	3067403	92004	1814	53405	40413	35743	31.6	532	0	0	137015
PSC	0	CB4856	2863630	172861	5997	102457	76401	61091	30.0	13003	0	0	229179
PSC	0	ECA250	2831170	75379	1676	44588	32467	24641	73.0	334	0	0	401756
PSC	0	ECA251	3087798	79630	1310	46272	34668	30606	39.8	219	0	0	134896
PSC	0	CB4932	3176929	61094	2016	35832	27278	24845	30.0	735	0	0	69620
PSC	0	CX11254	2911271	100780	2654	59672	43762	32393	88.0	508	0	0	287175
PSC	0	CX11262	2940419	119982	3756	71255	52483	40299	49.1	689	0	0	229401
PSC	0	CX11264	3010362	117341	13138	74683	55796	45444	34.4	1239	0	0	147101
PSC	0	CX11271	3140880	72707	5047	43894	33860	31159	34.9	1164	0	0	84469
PSC	0	CX11276	2913142	86198	2314	51095	37417	28228	30.7	1659	0	0	304478
PSC	0	CX11285	2995114	119762	3179	70349	52592	45231	27.4	857	0	0	170268
PSC	0	CX11292	3164481	68256	1013	39409	29860	27799	41.6	506	0	0	72850
PSC	0	CX11307	2959539	109203	2988	64545	47646	35798	63.8	942	0	0	226574
PSC	0	CX11314	2961766	107994	2275	63533	46736	35998	28.1	331	0	0	226096
PSC	0	CX11315	2856170	97120	5043	59033	43130	31628	30.7	591	0	0	344216
PSC	0	DL200	2977093	87887	2263	51473	38677	32253	50.4	1015	0	0	234931
PSC	0	DL226	3000495	101847	2851	60195	44503	37305	30.5	1367	0	0	191386
PSC	0	DL238	2872758	185909	6121	110553	81477	65527	38.1	24081	0	0	202214
PSC	0	ECA189	2836990	168131	4511	99045	73597	56540	25.2	6022	0	0	267095
PSC	0	ECA191	2563247	313599	9003	182651	139951	99687	38.5	14259	0	0	345921
PSC	0	ECA347	2580306	320658	26407	195027	152038	111858	33.9	27706	0	0	291243
PSC	0	ECA348	2951494	136694	11282	84581	63395	51913	34.0	1333	0	0	181646
PSC	0	ECA349	2994523	99066	2450	58313	43203	35985	39.6	632	0	0	202099
PSC	0	ECA36	2519787	354836	12030	207063	159803	111632	28.5	4246	0	0	332485
PSC	0	ECA363	2529733	337045	11876	196540	152381	106337	26.7	19047	0	0	345867
PSC	0	ECA369	2520021	256347	41485	173465	124367	84528	33.2	70803	0	0	428959
PSC	0	ECA372	2853143	159053	3859	93477	69435	54486	23.4	2604	0	0	262806
PSC	0	ECA396	2572810	296477	38684	189095	146066	105217	32.3	24331	0	0	317689
PSC	0	ECA592	2968506	133217	6475	79495	60197	52531	34.0	2749	0	0	172597
PSC	0	ECA593	2881355	163553	11488	100343	74698	61085	34.5	3038	0	0	215135
PSC	0	ECA594	2926621	143178	8590	86831	64937	53807	34.0	1581	0	0	201082
PSC	0	ECA640	3012486	119756	3347	70812	52291	43275	34.3	1088	0	0	154734
PSC	0	ECA701	2351511	421924	21694	252598	191020	130285	32.1	157861	0	0	403718
PSC	0	ECA703	2851446	183937	4894	107943	80888	65548	25.5	14661	0	0	226731
PSC	0	ECA705	2872103	166718	5473	98678	73513	60444	26.4	5820	0	0	228066
PSC	0	ECA706	2888226	170713	7623	102087	76249	62651	30.9	14109	0	0	203332
PSC	0	ECA710	2898909	162070	4003	95377	70696	58337	31.5	4805	0	0	209636
PSC	0	ECA712	2880509	161309	3899	94741	70467	57754	32.6	2188	0	0	229410
PSC	0	ECA722	2624908	320201	10958	186261	144898	108145	30.6	22451	0	0	266514
PSC	0	ECA723	2642156	310986	10797	180780	141003	105522	33.2	23444	0	0	261413
PSC	0	ECA724	2611650	317074	9210	183414	142870	106015	33.2	25433	0	0	286815
PSC	0	ECA730	2650659	304645	8411	175516	137540	102946	29.1	9025	0	0	264414
PSC	0	ECA732	2851249	182368	6733	108828	80273	64923	27.3	8139	0	0	227136
PSC	0	ECA733	2857295	177310	6515	105799	78026	63763	28.6	7886	0	0	227513
PSC	0	ECA738	2904138	161858	4787	95547	71098	58281	30.0	5559	0	0	203840
PSC	0	ECA740	2547999	353867	12752	206530	160089	114960	31.6	15066	0	0	300750
PSC	0	ECA741	2561300	348609	11643	202237	158015	114956	27.4	16683	0	0	293854
PSC	0	ECA742	2520442	356442	19344	212058	163728	117669	28.8	21258	0	0	316150
PSC	0	ECA743	2906666	158501	5982	93670	70813	58186	31.1	4941	0	0	203625
PSC	0	ECA744	2648434	309171	9244	179161	139254	103597	29.6	27693	0	0	260438
PSC	0	ECA745	2634385	319512	9205	185242	143475	107374	26.7	25346	0	0	260120
PSC	0	ECA746	2639749	314983	8961	182444	141500	105504	34.5	34457	0	0	261605
PSC	0	ECA760	2919512	158364	5877	93603	70638	59220	30.6	662	0	0	189766
PSC	0	ECA768	2889760	167752	6141	99512	74381	60430	32.6	698	0	0	208687
PSC	0	ECA777	2918736	157879	5651	93260	70270	59016	28.7	901	0	0	191532
PSC	0	ECA778	2921969	158810	4428	93294	69944	57565	30.6	653	0	0	190213
PSC	0	ECA807	2863098	168700	7674	100585	75789	62044	36.1	2616	0	0	231148
PSC	0	ECA812	2884341	161461	3847	94622	70686	58299	30.1	848	0	0	224916
PSC	0	ECA923	2822392	116092	9851	73388	52555	39583	33.7	2151	0	0	345853
PSC	0	ECA928	2853173	128371	13283	81742	59912	45523	28.9	2409	0	0	293353
PSC	0	ECA930	2920365	88837	10196	57227	41806	32558	26.1	548	0	0	282256
PSC	0	ED3005	2947678	98584	3582	59040	43126	34337	25.8	404	0	0	250012
PSC	0	ED3011	2836035	83059	2081	49272	35868	27885	36.3	532	0	0	385435
PSC	0	ED3012	3202713	34289	903	19994	15198	12264	28.3	565	0	0	84636
PSC	0	ED3017	3130747	64964	17956	47350	35570	31616	35.5	913	0	0	88973
PSC	0	ED3040	3113070	85777	932	49418	37291	33848	53.4	904	0	0	100606
PSC	0	ED3046	3019453	107189	2862	62892	47159	40802	66.5	247	0	0	163435
PSC	0	ED3048	3017378	65590	974	37990	28574	24010	62.7	701	0	0	226670
PSC	0	ED3049	3015304	107821	2107	62836	47092	40707	31.7	255	0	0	167791
PSC	0	ED3052	3088029	84135	2302	49288	37149	32449	62.6	910	0	0	127373
PSC	0	ED3073	3115753	80357	2299	47075	35581	31832	36.2	1057	0	0	103950
PSC	0	ED3077	3076590	92946	1335	53912	40369	34739	44.3	947	0	0	128536
PSC	0	EG4347	2965730	35112	533	20568	15077	12227	52.8	425	0	0	321368
PSC	0	EG4349	2935746	125036	2931	73560	54407	43497	27.7	887	0	0	226747
PSC	0	EG4724	3020218	114884	4854	68700	51038	42683	28.8	1175	0	0	151137
PSC	0	EG4725	2910267	142703	10647	87905	65445	51370	52.8	2723	0	0	218362
PSC	0	EG4946	3139387	63908	1084	37307	27685	23774	37.1	532	0	0	106233
PSC	0	GXW1	3118842	82734	1593	47944	36383	32824	53.6	1220	0	0	98155
PSC	0	JT11398	3163803	59928	1052	34542	26438	24192	40.5	806	0	0	85546
PSC	0	JU1088	2879161	76668	2577	45724	33521	25381	36.8	917	0	0	350731
PSC	0	JU1172	3020061	80999	1565	47454	35110	29385	29.3	647	0	0	202345
PSC	0	JU1200	3289379	14985	257	8424	6818	6404	31.0	655	0	0	24029
PSC	0	JU1212	2820217	75387	2419	45413	32393	23558	58.7	1125	0	0	412995
PSC	0	JU1213	2830096	98468	2751	58263	42956	32485	25.2	576	0	0	370612
PSC	0	JU1242	3016102	84613	1637	48943	37307	31046	25.0	500	0	0	201084
PSC	0	JU1246	2927722	86530	2251	50776	38005	31417	33.5	462	0	0	286508
PSC	0	JU1249	3210577	22824	1074	13541	10357	9593	30.5	769	0	0	90847
PSC	0	JU1395	2960834	48028	805	28095	20738	17033	32.2	794	0	0	308108
PSC	0	JU1400	3001854	123673	5852	74542	54983	44541	16.8	1797	0	0	157586
PSC	0	JU1409	3136189	73029	2367	42938	32458	29514	46.3	981	0	0	93213
PSC	0	JU1440	3130120	70158	1175	40888	30445	26599	44.4	705	0	0	106327
PSC	0	JU1491	3094581	97780	1991	56814	42957	36765	35.6	1022	0	0	102949
PSC	0	JU1530	3141330	76378	971	44006	33343	30524	59.5	620	0	0	85058
PSC	0	JU1543	3234115	26478	1511	15885	12104	10620	53.7	733	0	0	62282
PSC	0	JU1568	3141560	23883	555	13599	10839	10312	30.0	650	0	0	158697
PSC	0	JU1580	3022429	55948	98188	88476	65660	53851	33.0	548	0	0	103107
PSC	0	JU1581	3109408	81759	23605	59890	45474	41705	87.3	1011	0	0	77376
PSC	0	JU1586	3256624	28184	1080	16576	12688	12471	65.5	861	0	0	36430
PSC	0	JU1652	2760079	89099	2584	53010	38673	28728	53.0	1189	0	0	453913
PSC	0	JU1666	3043541	102431	2155	59520	45066	39452	23.6	861	0	0	146460
PSC	0	JU1792	3157733	58883	833	33958	25758	22861	33.8	698	0	0	94275
PSC	0	JU1793	2925839	149653	2933	87719	64867	52242	34.7	380	0	0	202991
PSC	0	JU1808	3107263	77225	2573	45483	34315	31107	34.1	346	0	0	116158
PSC	0	JU1896	3098184	81813	2307	47685	36435	32305	31.9	1561	0	0	119306
PSC	0	JU1934	3101626	85836	1151	49369	37618	33577	38.9	435	0	0	112132
PSC	0	JU2001	2972382	134336	2996	78986	58346	48684	33.7	3998	0	0	175160
PSC	0	JU2007	3108066	86844	1220	50128	37936	33895	52.2	1417	0	0	104224
PSC	0	JU2016	3088805	74605	895	43186	32314	28941	52.5	498	0	0	141121
PSC	0	JU2017	3015328	108194	2027	62828	47393	40202	31.3	2134	0	0	168161
PSC	0	JU2106	2993705	120368	2348	70601	52115	41652	30.4	778	0	0	176061
PSC	0	JU2131	3029380	105911	2086	61397	46600	40621	31.9	725	0	0	156095
PSC	0	JU2141	3091464	84703	1204	48654	37253	33554	26.6	472	0	0	123372
PSC	0	JU2234	3106928	82214	1460	47377	36297	31851	29.7	1569	0	0	111772
PSC	0	JU2250	3073781	95921	1324	55043	42202	38010	32.8	399	0	0	125208
PSC	0	JU2257	3231998	32381	706	18566	14521	13659	28.3	830	0	0	56121
PSC	0	JU2316	2858841	178388	13514	108986	82916	63307	27.7	1031	0	0	219089
PSC	0	JU2464	2892211	88717	1811	52088	38440	30771	38.4	1014	0	0	320852
PSC	0	JU2466	3136076	63990	3014	38054	28950	26738	24.4	876	0	0	104546
PSC	0	JU2478	3131984	75065	557	42993	32629	30239	38.1	790	0	0	96568
PSC	0	JU2513	3026192	83417	1827	48938	36306	30468	35.9	1233	0	0	192276
PSC	0	JU2519	2879119	143087	12199	88989	66297	50907	28.7	435	0	0	248463
PSC	0	JU2522	2968948	112427	1775	65695	48507	39576	34.5	459	0	0	211445
PSC	0	JU2526	2750240	198978	5199	116714	87463	63567	29.0	785	0	0	315427
PSC	0	JU2534	3157735	63187	749	36382	27554	24557	25.2	796	0	0	88362
PSC	0	JU2565	3240137	27725	783	15750	12758	12770	38.5	731	0	0	53446
PSC	0	JU2566	3223032	40261	594	23239	17616	15714	27.1	672	0	0	55238
PSC	0	JU2570	3079855	95193	1214	54593	41814	37759	33.3	447	0	0	120201
PSC	0	JU2572	3176425	55544	2991	33576	24959	20779	34.6	832	0	0	78868
PSC	0	JU2575	3202183	40896	606	23666	17836	17003	40.2	569	0	0	74061
PSC	0	JU2576	3046342	99360	2490	57485	44365	39060	31.8	1896	0	0	146696
PSC	0	JU2578	3083215	82534	2063	47954	36643	32894	34.3	711	0	0	133521
PSC	0	JU258	2774198	150742	4767	89430	66079	49898	30.9	2517	0	0	354164
PSC	0	JU2581	3004341	102475	2095	59431	45139	38250	45.2	234	0	0	186956
PSC	0	JU2586	2975128	120991	1957	70565	52383	44710	25.4	818	0	0	191070
PSC	0	JU2587	2959043	103030	10887	65408	48509	38347	31.0	1467	0	0	222681
PSC	0	JU2592	3081054	69873	1726	40815	30784	26194	25.8	1314	0	0	155581
PSC	0	JU2593	3001085	109390	3809	64581	48618	40393	30.9	496	0	0	179293
PSC	0	JU2600	3053678	98694	2686	57852	43528	37134	35.6	352	0	0	141820
PSC	0	JU2610	3045260	100245	2856	58820	44281	37617	31.1	390	0	0	148086
PSC	0	JU2619	3018287	91202	11161	58996	43367	36187	34.2	987	0	0	177069
PSC	0	JU2800	3074742	93984	1290	53895	41379	36739	33.2	967	0	0	127470
PSC	0	JU2811	2970476	130797	3152	76608	57341	46664	39.0	4168	0	0	182549
PSC	0	JU2825	3168013	56201	6522	35764	26959	22422	30.5	723	0	0	81275
PSC	0	JU2829	3018736	108862	2362	63216	48008	41056	36.3	342	0	0	162899
PSC	0	JU2838	3021974	115252	1795	67285	49762	41439	32.6	2135	0	0	153422
PSC	0	JU2841	3037193	103076	2542	60104	45514	39088	36.4	1887	0	0	151978
PSC	0	JU2853	3201717	47383	648	27044	20987	19708	30.3	684	0	0	65279
PSC	0	JU2862	3115356	79858	726	45817	34767	31522	35.8	753	0	0	106872
PSC	0	JU2866	3048136	97113	1973	56935	42151	35532	34.0	720	0	0	151392
PSC	0	JU2878	3039508	108300	2013	63457	46856	38638	36.7	4337	0	0	145388
PSC	0	JU2879	2958425	135146	4640	80548	59238	47114	44.7	1974	0	0	188313
PSC	0	JU2906	3132438	55520	871	32279	24112	21217	40.1	841	0	0	124646
PSC	0	JU2907	3185963	28840	377	16905	12312	10849	25.6	803	0	0	108906
PSC	0	JU310	3136721	75085	3592	44789	33888	30958	29.2	668	0	0	87919
